"filename", "language", "JavaScript", "JavaScript React", "CSS", "Properties", "Markdown", "JSON", "pyscript", "comment", "blank", "total"
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\package-lock.json", "JSON", 0, 0, 0, 0, 0, 32622, 0, 0, 1, 32623
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\package.json", "JSON", 0, 0, 0, 0, 0, 73, 0, 0, 1, 74
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\public\index.html", "pyscript", 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\details.md", "Markdown", 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\results.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.env", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\Expenses.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretaker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 137, 20, 157
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretakerCompliment.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 20, 152
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretakercomment.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 21, 153
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\complain.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 21, 153
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\milestone.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 2, 20, 157
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tenant.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tenantNotice.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tour.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 2, 21, 148
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\user.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 18, 85
